Author,Code,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
1,1,V3 p16 -7,V3 p20-15,V3 p33-41,V3 p33-42,"As shown in the figure, line L is parallel to BC, ∠BAC=108°, ∠DAB=(2x-2y)°, ∠B= (x+4y+6)°, and ∠C=(10y+20)°. Find the angle of ∠B.  V3 p37-50 ","As shown, L1// M1 , ∠A=42°, ∠B=46°, and ∠BCF=124°. What is the angle of ∠ADE°?  V3 p37-49","In the figure shown, L//M and ABCDE is a regular pentagon. If∠CDG=30°, find the angle of ∠FAB? V3 p43-57","As shown, L1//L2, ∠1=∠2, and ∠3=∠4. Find the value of x.  V3 p34-44","As shown in the figure, L1//L2, M is the transversal line of L1 and L2, if ∠1= (3x+4)° , ∠2=(7x+6)°, find the value of x. 4-1 Workbook p53-2","As shown in the figure, L1//L2, if the area △DCE is 10. The area of ​​△BCE is 8, find the area of ​​△ADE. 4-1 workbook p 55-3"
2,0
3,1,Q1 (V2 p. 86 - 10) ,Q2 (V2 p. 93 - 23) ,Q3 (V2 p. 97 - 30),Q4 (V2 p. 100 - 33),Q5 (V2 P. 88 - 14),Q6 (V2 P. 89 - 16),"Q7   Given that the three sides of a triangle are a+1, 32-2a, and 3a-11, if ""a"" is a positive integer, how many possible values of ""a"" are there?   (V2 P. 92 - 22)","Q8   Isosceles triangle ABC has a perimeter of 21, and the length of its three sides are all positive integers. How many triangles are there that satisfy these conditions?   (V2 P. 95 - 27)",Q9 [3-4 Adv - 三 - 5 - (2)],Q10 [WB 基礎題 - 6 - (2)]
4,1,Q1 (V3 P. 94 - 8),Q2 (V3 P. 97 - 13),Q3 (V3 P. 102 - 24),Q4 (V3 P. 105 - 28),"Q5 (V3 P. 108 - 31)  As shown in the figure, the perimeter of rhombus ABCD is 70, and the diagonal BD has length 14. Find the area of the rhombus.                                                                       ","Q6 (V3 P. 115 - 38)  As shown in the figure, in quadrilateral ABCD, segment AD // segment BC, length of segment AB = length of segment CD. length of segment AH = 5, length of segment BC = 30, length of segment AD = 10. Find the length of the diagonal BD.","Q7 (V3 P. 117 - 40)  The figure shown the depicts the overlap of rhombus ABCD and triangle ABE, where point D lies on line segment BE. Given that the length of segment AB = 12, the length of segment BD = 14, and the length of segment AE = 19, find the length of segment DE.","Q8 (V3 P. 121 - 44)  As shown, the trapezoid ABCD, segment AD // segment BC, and EF is the mid-segment of the trapezoid. Given that the length of segment AD = 6 and the length of BC = 12, find the ratio of the area of AEFD to the area of EBCF.","Q9 (4-3 Basic 一、5)  The area of isosceles trapezoid ABCD is 56, if segment AD // segment BC, length of segment AD = 4 , length of segment BC = 10, find the height of isosceles trapezoid ABCD.","Q10 (4-3 Basic 二、3)  The area of rhombus ABCD is 96, the diagonal BD = 12, what is the length of the diagonal AC."
5,1,"Q1 As shown in the figure, the angle of ∠ABC is 90˚, AB = 8, BC = 6. Constructing two squares ABDE and ACFG using the sides of AB and AC respectively, find the length of BG. (V2 P. 38-45)","Q2 As shown in the figure, ABCD and APQR are congruent squares. If ∠PEC equals 60˚, and the area of one square is 300, find the angle of ∠BAR and the area of the quadrilateral APED. (V2 P.34 -40)","Q3 As shown, triangle ABC and triangle CDE are both equilateral triangles. If ∠AED = 40°, find the angle of ∠ADB. (V2 P.36 -43)","Q4 As shown in the figure, square ABCD is placed on a Cartesian plane.(a) Given that point A lies on (0, 5) and point B on (2, 0), find the coordinates of point C.(b) What is the area of the square? (V2 P.43 -50)","Q5 As shown, triangle ABC is an isosceles right triangle and line L passes through point A. Drawing the perpendiculars of point B and point C onto line L to intersect at point D and point E respectively, given that DA = 22, AE = 16.5, ∠DBA = 57°, find the angle of ∠ACE and length of BC(find the first decimal place). (V2 P.35 -41)","Q6 As shown in the figure, in triangle ABC, AB = AC, PB = CQ, BQ = CR. If  ∠A = 54°, find the angle of∠RPQ. (V2 P.37 -44)","Q7 As shown in the figure, squares ABCD and EFGH have sides with a length of 20. Given that point E lies in the center of square ABCD and that the line segment BP has a length of 6, find the area of thequadrilateral EPCQ.","Q8 As shown in the figure, AB = 8, BC = AE = 24, BF = 32, CE = CF = 28, and the area of triangle CDF is 40. Find the area of quadrilateral ABDE. (V2 P.44 -51)","Q9 As shown in the figure, AB and AC are the sides of △ABC. AB and AC will form two equilateral triangles, which are ACE andABD. These two triangles connect BE and CD, and point F is the intersection of two lines. Find ∠CFE=? (3-2 Adv. 三、4)","Q10 On the coordinate plane, A(-1, 3) first move 6 units right, and then move 4 units down, then move 12 units to the left, andmove 7 units down, lastly, move 9 units right, which reach point B. Find: (a) The coordinates of point B. (b) AB. (3-2 Adv. 三、5)"
6,1,"As shown in the figure, in parallelogram ABCD, AD = AE = 9, CF = 14, and ∠EAD = 110°. Find the angle of ∠FEB and the length of AB. (V3 P. 71 - 19)","As shown, in parallelogram ABCD, AE bisects ∠BAD and DF bisects ∠ADC. Find the angle of ∠1. (V3 P. 72 - 20)","Parallelogram ABCD lies on a Cartesian plane, where point A lies on (3, 5), point B on (1, -2), and point C on (-6, -4). Given that point D lies in the second quadrant, find the coordinates of point D. (V3 P. 73 - 22)","As shown in the figure, ∠B = 45°, ∠C = 70°, and quadrilateral ABED and AFCD are both parallelograms. What is the angle of ∠1 ? (V3 P. 81 - 31)","As shown in the figure, ABCD is a parallelogram. If the area of triangle ADE is 45, and the area of triangle BEC is 15, what is the area of triangle AEB? (V3 P. 70 - 17)","As shown, P is an interior point of parallelogram ABCD, line segments EF and GH are parallel to AB and AD and both pass through point P. Given that the areas of triangle PAD, PCD, and PBC, are 13, 16, and 10, respectively, find the area of triangle PAB. (V3 P. 79 - 29)","As shown, in the parallelogram ABCD, ED // FG, ∠BCG = 110°, and ∠ABE = 20°. Find the angle of ∠BFG. (V3 P. 72 - 21)","As shown, in the parallelogram ABCD, AF丄 DF, AE = 6, and DF = 9. Find the sum of the areas of the triangle ABE and DCG. (V3 P. 77 - 27)","In parallelogram ABCD, if AB = (7x-2)cm, BC = (5x+3)cm, and CD is 17 cm longer than AD, what is the perimeter of parallelogram ABCD ? (4-2 Adv. 一、3)","As shown in the figure, the supplementary angle of ∠A is 32° more than the complementary angle of ∠B. Find the angle of ∠D. (WB P. 57 - 3)"
7,1,Q1 (V3 P.28 - 32 (b)),Q2 (V3 P.36 - 47),Q3 (V3 P.16 - 8),Q4 (V3 P. 46 - 60),Q5 (V3 p.34 - 43),Q6 (V3 p.36 - 48),Q7 (V3 P.32 - 39),Q8 (V3 p.31 - 37),"Q9 As shown, given that L // M, ∠1= (2x +60)°, ∠2= (x+23)°, and ∠3= 112°, find the value of x. (4-1 (2) common 二、5 )","Q10. As shown, line BF bisect ∠ABC, line CF bisect ∠ACB, line DE // line BC. If line AB =24 and line AC= 21, find the perimeter of △ADE (4-1 adv. 三、1 (2))	"
8,1,Which of the following cannot form a triangle? (V2 P.99-32),"Given that the three sides of a triangle are a-3, 26-a, and 2a-7, if a is a positive integer, how many possible values of a are there? (V2 P.92-22)","In triangle ABC, if line AB = √3+√2, line BC = √5+2, line AC = √6+1, compare the angles of ∠A, ∠B, and ∠C. (V2 P.96-29)","Given that line ST ≅ line PR, how does m∠PST compare to m∠SPR? (V2 P.86-10)","Isosceles triangle ABC has a perimeter of 16, and the length of its three sides are all positive integers. How many triangles are there that satisfy these conditions? (V2 P.95-27)",List the sides of △ABC in order from shortest to longest. (V2 P.84-5),"As shown in the figure, in quadrilateral ABCD, ∠ACB = ∠ACD = 55°, ∠B = 65°, and ∠D = 50°. Based on these properties, BC____AD. (Fill > , = , or < in the blank given) (V2 P.97-30)","In △ABC, m∠A = (2𝑥-2)°, m∠B = (𝑥+55)°, and m∠C = 52°. List the side lengths and angle measures of the triangle in order from the least to greatest. (V2 P.88-15)","In △ABC, ∠A = 60°, ∠B = 70°, which side of △ABC is the shortest? (3-4 WB 基礎題、5)","In △ABC, ∠A > ∠C. If line AB = 6, line AC = 4, and line BC is an even number, find the perimeter of △ABC. (3-4 Basic 三、3)"
9,1,Q1 (V2 P. 34-40),Q2 (V2 P. 19-10),Q3 (V2 P. 35-41),Q4 (V2 P. 17-6),Q5 (V2 P. 28-27(d)),Q6 (V2 P. 37-44),Q7 (P. 38-45),Q8 (P. 44-51),Q9 (3-2 Adv. 一、10),Q10 (3-2 Adv. 一、6)
10,1,Q1 (V3 P. 94 - 8),Q2 (V3 P. 110 - 33),Q2 (V3 P. 121 - 44),Q4 (V3 P. 123 - 46),Q5 (V3 P. 11 - 96),Q6 (V3 P. 122 - 45),Q7 (V3 P. 98 - 15),Q8 (V3 P. 102 - 24),"Q9 (4-3 basic 一、2) In Isosceles trapezoid ABCD, segment AD // segment BC, ∠ABC=70°, ∠ACD=30°, find the value of ∠ACB. ","Q10 (V3 P.  - ) In the trapezoid ABCD, segment AD // segment BC, segment AE=segment EP=segment PG=segment GB, segment DF=segment FQ=segment QH=segment HC, segment AD=20, segment BC=28. (1) find the value of segment PQ. (2) find the value of segment EF + segment GH. "
11,1,Find the values of x and y in the diagram (V2 P.26 - 24),"Given ∠A ≅ ∠D, ∠C ≅ ∠F;  Congruence method is used to prove that △ABC ≅ △DEF (V2 P.22 - 15)",Find the values of x and y in the diagram (V2 P.26 - 23),"Refer to the diagram to the right, find m∠BDC (V2 P. 17 - 6)",Find the value of x and y. (V2 P.28-27(c)),"As shown, ∠1 = ∠2, line segment AC is equal to line segment BD. Given that ∠1= 25°, ∠ACD= 55°, find the angle of ∠CAB. (V2 P.35-42)","As shown in the figure, in triangle ABC, line segment AB is equal to line segment AC, line segment PB is equal to CQ, line segment BQ is equal to line segment CR. If ∠A= 64°, find the angle of ∠RPQ. (V2 P.37-44)","As shown in the figure, point E lies on line segment BC, and the two triangles ABC and BDE are both equilateral triangles. If ∠AEB= 75°, find the angle of ∠BCD. (V2 P.42-49)","In square ABCD, E is the midpoint of Line BC, extend line AE intersect with extend line of DC on point F. If line segment is 10 cm, find line AF.  (3-2 Basic.三.2)","There are two triangles, △ABC and △DEF; line segment AB = 6, line segment BC = 7, line segment AC = 5, line segment EF = 5, line segment DF = 6, line segment DE = 7. Are△ABC and △DEF congruent? If yes, which congruent method is used to prove it? (3-2 Basic.一.7)"
