Number,Score(/50),ScoredCount,Author1,Score1,Author2,Score2,Author3,Score3,Author4,Score4,Author5,Score5
1,46,5,3,80,5,100,9,100,10,80,28,100
2,49,5,7,100,15,90,16,100,18,100,23,100
3,47,5,1,100,5,80,9,100,10,90,28,100
4,47,5,6,100,11,90,14,100,27,90,33,90
5,48,5,1,100,3,100,9,90,10,90,28,100
6,49,5,4,100,11,100,14,90,27,100,33,100
7,49,5,2,90,15,100,16,100,18,100,23,100
8,50,5,4,100,7,100,11,100,26,100,28,100
9,39,4,1,100,3,90,5,100,28,100
10,38,4,3,90,5,90,9,100,28,100
11,36,5,4,60,6,80,14,80,27,50,33,90
12,40,5,17,100,21,70,22,80,26,80,29,70
13,49,5,5,100,10,100,14,90,18,100,21,100
14,48,5,4,90,6,100,11,100,27,100,33,90
15,49,5,2,100,7,100,16,90,18,100,23,100
16,50,5,2,100,7,100,15,100,18,100,23,100
17,27,3,21,90,26,90,29,90
18,47,5,2,90,7,90,15,100,16,100,23,90
19,47,5,8,90,13,90,24,90,30,100,32,100
20,50,5,4,100,5,100,6,100,8,100,14,100
21,50,5,12,100,17,100,22,100,26,100,29,100
22,45,5,12,90,17,90,21,100,26,80,29,90
23,50,5,2,100,7,100,15,100,16,100,18,100
24,46,5,9,100,16,99,17,100,23,90,27,80
25,0,0
26,36,5,12,80,17,90,21,70,22,80,29,40
27,47,5,4,100,6,70,11,100,14,100,33,100
28,42,5,1,100,3,90,5,80,9,100,10,50
29,50,5,12,100,17,100,21,100,22,100,26,100
30,45,5,2,90,3,90,12,90,19,90,33,90
31,0,0
32,49,5,1,100,6,100,15,100,22,90,29,100
33,46,5,4,80,6,90,11,100,14,90,27,100
