Author,Code,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
1,1,"As shown in the figure, AB // DE and BC // EF. If ∠B = (3x - 25)° and ∠DEF = (5x + 5)°, find the value of x. (V3 P.32-40)","As shown in the figure, L1 // L2, ∠1 =(3x - 45)°, ∠2 =(2x + 30)°, and ∠3 =(x + 15)° Find the angle of ∠2. (V3 P.33-42)","As shown in the figure line, line L is parallel to BC, ∠BAC=80°, ∠DAB=(3x - 4y)°, ∠B=(2x + y + 5)° and ∠C= (8y + 20)°. Find the angle of ∠B.   (V3 P.37-49)","Based on the figure shown, which of the following statement is correct? (V3 P.38-51)","As shown, given that AB // EF, DE⊥BC, and ∠E = 120°, find the angle of ∠B. (V3 P.32-39)","In the figure shown, L1 // L2. Find the angle of ∠BCD - ∠ABC.  (V3 P.36-48)","As shown, folding along the crease EF, point C now falls on point C' and point D on point D'. If ∠EGF = 45°, find the angle of ∠1 + ∠2.(V3 P.36-47)","As shown, L // M, ∠A = 32°, ∠B = 36°, and ∠BCF = 120°. What is the angle of ∠ADE? (V3 P. 37-50)","Q1 (4-1 Adv. 第三大題第三小題) Based on the figure, L//M, ∠2=3∠1, ∠4=3∠3, ∠B=80°, find ∠D.","Q2 (4-1 Adv. 第二大題第二小題) As shown in the figure, the continuous line part is a line symmetrical figure, B and D are the symmetry points of A and C respectively. After connecting the straight line AB and the straight line CD, we get∠1=105°, then ∠2－∠3= ____degrees. "
2,1,"1. V2 p.58-14: As shown, isosceles triangle ABC has side segment AB=segment AC. Line segment BD and line segment CD bisect angle ∠ABC and ∠ACE, respectively. If∠A=40°, find the angle of ∠D.","2. V2 p.60-17: As shown in the figure, in triangle ABC, line L is the perpendicular bisector of segment AB. If segment AB=48, segment AP=26, and segment BC=30, find the length of PC.","3. V2 p.60-18: As shown in the figure, in triangle ABC, segment AC= segment EB, segment AB= segment ED, and segment BC= segment DB. If line segment BD bisects ∠ABC and ∠E=30°, find the angle of ∠DBC.","4. V2 p.61-19: As shown in the figure, segment AB= segment AC, segment BD, segment CD, segment BE, and segment CE bisect the angle ∠ABC, ∠ACB, ∠DBC, ∠DCB respectively. If ∠BEC is 160°, find the angle of ∠A.","5. Revised question from V2 p.61-20: As shown, in the right triangle ABC, ∠B=90°, and line DE is the perpendicular bisector of line segment AC. Given that segment AB=10 and segment AC=20, find the length of AE.","6. Revised question from V2 p.68-29: As shown, line segments BE and BG trisect ∠ABC, and line segment CE and CF trisect ∠ACD. Given that ∠BAC=78°, find the angle of ∠BEC.","7. Revised question from V2 p.69-30: As shown, in quadrilateral ABCD, line segment AC is the angle bisector of ∠A, segment AB=12, segment BC=5, segment AD=24, and ∠B=90°. Find the area of the quadrilateral ABCD.","8. Revised question from V2 p.70-31: As shown, in rectangle ABCD, segment AB=4 and segment BC=8. Constructing the perpendicular bisector of diagonal AC to intersect AD and BC at point P and Q respectively, find the length of PD.","9. (3-3 workbook p.42-2) : As shown, triangle ABC is a right triangle, ∠ABC=90°, line segment AB=5, line segment BC=7, make two squares ABDE and ACFG with line segment AB and line segment AC as sides respectively. Find the lengths of line segment EC and line segment BG. ","10. (3-3 Basic worksheet part 1 multiple choice-4) : Regarding the narratives of isosceles triangle, which of the following is incorrect?"
3,1,List the side of ΔDEF in order from shortest to longest. Given ∠D = 51°  and ∠E = 47°. ( V2.  Page 84.  Question 5 ),"In triangle DEF,  m∠D = ( x+25)°, m∠E = ( 2x-4)° , and m∠F = 63°. List the side lengths and angle measures of the triangle in order from least to the greatest. ( V2.  Page 88.  Question 15 )","In triangle ABC, if ∠A/6 = ∠B/5 = ∠C/4, which line segment is the longest? ( V2.  Page 92.  Question 21 )","The three heights of triangle ABC are AD, BE, and CF. If ∠A > ∠B > ∠C, compare the length of the three heights.  ( V2.  Page 94.  Question 25 )","List the sides of ΔABC from the shortest to the longest, given angle ∠A = 65, ∠B = 25 ( V2.  Page 84.  Question 6 ) ","In triangle ABC, the exterior angle of ∠A is 110°, and 4∠C = ∠B. Compare the lengths of line segments AB, BC, and AC. ( V2.  Page 94.  Question 26)",Which of the following sides cannot form a triangle? ( V2.  Page 99.  Question 32. ),"In triangle DEF, if ∠D/7 = ∠E/5 = ∠F/3, which line segment is the longest?","Given that ΔABC is a right triangle ,∠BAC =90° , finding a point at the hypotenuse as D, connecting point A and D forming side AD, making AD⊥BC , if ∠B=50°, ∠C=40°, find the angle ∠DAB and ∠DAC.( Worksheet advanced 3-4.  Page 2.  Question 1)","In ΔABC, given ∠A=60° , ∠B=70°, which side is the shortest? (Workbook. Page 45. Question 5"
4,1,Find the value of x.(V3 P.97-13{a}),"In a kite, the measures of the angles are 3x, 75°, 90°, and 120°. Find the value of x. (V3 P.98-15)","As shown in the figure, in trapezoid ABCD, ∠C=90°, ∠D=45°, AB=6, and CD= 10. What is the area of the trapezoid?(V3 P.102-24)",Classify this special quadrilateral. (V3 P.92-4),Find the measure of angle 1 in rhombus DEFG when ∠G=130° .  (V3 P.93-6),Find the value of x when trapezoid ABCD has a midsegment = 25.5. Given that AB= 2x-8 and CD= x+5  (V3 P.97-13{b}),"As show in the figure, the perimeter of rhombus ABCD is 40, and the diagonal BD has length 12. Find the area of the rhombus.(V3P. 108-31)","The figure shown depicts the overlap of rhombus ABCD and triangle ABE, where point D lies on line segment BE. Given that AB=5, BD= 6, and AE= 10, find the length of DE. (V3 P.117-40)","In kite ABCD AO =6,CO=15,△ABDhas an area of 48, find the perimeter of this kite。(進階4-3 計算{4})",Which of the following quadrilaterals cannot be regarded as a parallelogram? 共同練習 4-3(2)選擇{3}
5,1,Q1 (V2 P. 36 - 43),Q2 (V2 P. 34 - 39),Q3 (V2 P. 37 - 44),Q4 (V2 P. 42-49),Q5 (V2 17-5),Q6 (V2 35-41),Q7 (V2 32-36),Q8 (V2 29-30),Q9 (3-2 進階 二-3) If I want to construct lines that divides an angle evenly 2^n times. How may times should I construct the graph?,"Q10 (3-2 習作 4 ) In the graph below, point D lies on AB. Point E lies on AC. AB=AC. <B=<C. Which of the triangle congruent postulate can explain that △ABE =△ACD?"
6,1,"Question 1 (Vol 3; P.72, Q21)",Question 2 (Vol 3; P.69; Q14),Question 3(Vol 3; P.75; Q25),Question 4(Vol 3; P. 81; Q31),Question 1(Vol 3; P.64;Q2),Question 2(Vol 3; Page 67; Q11),Question 3(Vol 3; P. 64:Q. 1 ),Question 4(Vol 3; P.65 ;Q.8),"Question 1(4-2 Adv. 一、6): In parallelogram ABCD, line segment  BC=12, angle AED=90°,  line segment AE=line segment DE, then what is the area of ABCD","Question 2(4-2 Adv. 二、6): Based on the diagram, in parallelogram ABCD, line segment AE bisects angel BAD, line segment DF bisects angle ADC, find angle 1"
7,2,1. Classify the pair of numbered angles. (V3 P.14-3b),2. Find the value of x. (V3 P.16-8),3. Find m∠1 & m∠2. Tell which theorem you use in each case. (V3 P.17-10c),4. Find the value of x that makes m // n. (V3 P.19-13),1. Find the value of x. (V3 P.16-7),2. Find m∠1 & m∠2. Tell which theorem you use in each case. (V3 P.17-10a),3. Find the value of x that makes m // n. Explain your reasoning. (V3 P.20-16a),4. Find the value of x that makes m // n. Explain your reasoning. (V3 P.20-16b),"1. L1 // L2, M is transversal of L1 & L2. If m∠1 = (3x + 4)°,  m∠2 = (7x + 6)°, find the value of x. (4-1 WB P.53-2)","2. Base on the graph, segment AB // segment CD, E is on segment AB, F is on segment DE. m∠B = 35°, m∠D = 45°, find m∠1 & m∠2 (4-1 WB P.54-5)",Alternate Exterior Angles,x = 5,"m∠1 = 122° Alternate Interior Angles Theorem, m∠2 = 58° Consecutive Interior Angles Theorem",20,x = 45,"m∠1 = 120°,Vertical Angles Congruent Theorem, m∠2 = 120°,Alternate Exterior Angles Theorem","x=22, corresponding angles converse theorem","x = 45, corresponding angles converse theorem",17,"m∠1 = 45°, m∠2 = 80°"
8,1,"The three heights of triangle ABC are AD, BE, and CF. If ∠A > ∠B > ∠C, compare the length of the three heights.  (V2 P94-25). ","Isosceles triangle ABC has a perimeter of 14, and the length of its three sides are all positive integers. How many triangles are there that satisfy these conditions? (V2 P95-27).","Given that a, b, and c are the three sides of a triangle, simplify the expression: (V2 P.98 -31)","In the figure, XY bisects ∠WYZ. List all six angles of △XYZ and △WXY in order from smallest to largest. (V2 P88-14).","In ∆DEF, m∠D = (3x+29)°, m∠E = (2x-4)°, m∠F = 48°. List the side lengths and angle measures of the triangle in order from least to greatest. (V2 P88-15)","Given that the three sides of a triangle are ܽ5a-5, 27-3a, and 2a-7, if a is a positive integer, how many possible values of a are there? (V2 P92-22)",The perimeter of ∆HGF must be between what two integers? (V2 P89-16),"In triangle ABC, the exterior angle of ∠C is 150 degrees, and 5∠A =6∠B .Compare the lengths of line segments AB, BC, and AC. (V2 P94-26)","The two points A and B are on the same side of the line L, and point C is the symmetry point obtained by taking the line L as the axis of symmetry of point A. If BC intersects the line L at point P, and Q is a point on L that is different from point P, compare the relationship between PA+PB and QA+QB. (WB P46-2)","As shown in the figure, the three internal angle bisectors of △ABC intersect at point O. If AO> BO>OC, compare the length of the three sides of △ABC. (AdvWS P2-5)"
9,1,"Q1 (V2 p60-17): As shown in the figure, in triangle ABC, line L is the perpendicular bisector of segment AB. If AB=48, AP=26, and BC=30, find the length of PC","Q2 (V2 p60-18): As shown in the figure, in triangle ABC, AC=EB, AB=ED, and BC=DB. Of the line segment BD bisects ∠ABC and ∠E=30°, find the angle of ∠DBC.","Q3 (V2 p64-25): As shown in the figure, in pentagon ABCDE, the angle bisectors of ∠ABC and ∠AED intersect at point F. If ∠A=130°, and ∠D=98°, find the angle of ∠BFE.","Q4 (V2 p63-24): As shown in the figure, the three interior angle bisectors of triangle ABC intersect at point I. If ∠BAI= 20° and ∠ACI= 30°, find the angle of ∠CBI.",Q1 (V2 p54-4a) Find each measure. (a): m∠GFJ,Q2 (V2 p54-4b) Find each measure    (b): RS,"Q3  (V2 p54-5a)Use the diagram and the given information to find the indicated measure BC bisects ∠ABC, and DC=8.8 Find DA. ","Q4  (V2 p54-5b) Use the diagram and the given information to find the indicated measure BD bisects ∠ABC, AD=4z+8, and CD=3z+12. Find CD.","Q1 (3-3進階第三大題第五小題) As shown in the figure, AB = AC, BD bisects ∠ABC, CD bisects ∠ACB, BE bisects ∠DBC, CE bisects ∠DCB, and ∠BEC=160°, find ∠A.","Q2 （3-3進階第一大題第三題）Given the quadrilateral ABCD, L is the mid-perpendicular line of AD, and P is any point on L, which of the following equations is  true?"
10,1,"Q1. As shown, in trapezoid ABCD(梯形), segment AD is parallel to segment BC, and EF is the midsegment of the trapezoid. Given that segment AD= 4 and BC= 10, find the ratio of the area of AEFD to the area of EBCF. (V3 P. 121 -44)","Q2. As shown, in trapezoid ABCD, segment AD is parallel to segment BC, segment AB is perpendicular to segment BC, segment AD=3, segment BC=5, and segment AB= 6. If line segment CE bisects the area of trapezoid ABCD, find the length of AE (V3 P. 120 - 43)","Q3. As shown, in rhombus ABCD, segment AB= segment AF= segment AE= segment EF. Find the angle of BAD (V3 P. 105- 28)","Q4. Given that the two diagonals of a kite have lengths (2x+3) and (3x-4), and the area of the kite is 44 cm^2, what is the value of x? (V3 P. 103- 25)","Q5. In trapezoid A, its midsegment has a length of 28cm; the length of its bottom base is equal to the length of the top base squared. In trapezoid B, its midsegment has a length of 10 cm; its bottom base is 6 cm longer than its top base. What is the ratio of trapezoid A's top base: trapezoid B's top base? (V3 P. 103~104- 26~27)","Q6. As shown, in trapezoid ABCD, segment GH is the midsegment of trapezoid ABCD, segment EF is the midsegment of trapezoid AGDH, segment AD= 4, and segment EF=5. If segment GH bisects segment DZ and the area of trapezoid AGHD is 15, what is the area of trapezoid GHCB? (V3 P. 107- 30)","Q7. As shown in the figure, in trapezoid ABCD, segment AD is parallel to segment BC, segment EF is the midsegment of the trapezoid, and segment FG is a line segment that is parallel to segment AB and intersects line segment BC at point G. If segment AD: segment EF= 6:7, what is the ratio of EFGB's area: FGC's area? (V3 P. 109- 32)","Q8. As shown in the figure, in rhombus ADCB, diagonal AC has a length of 32 and diagonal BD has a length of 24, what is the perimeter of rhombus ADCB?(V3 P. 108- 31)","Q9. In kite ABCD, segment AB = segment AD= 8, segment BC= segment CD= 15, and angle ABC= angle ADC= 90 degrees, find segment AC and BD. (課本 P. 211- 1)","Q10. In kite ABCD, diagonal AC and BD intersects at point O, segment AB= segment AD= 12, and segment CB= CD. If ABD is an equilateral triangle and segment AC= 18√3, find the perimeter of kite ABCD. (習作 P. 61- 2)"
11,1,Q1 (V2 P. 26 - 23): Find the values of x and y in the diagram.,Q2 (V2 P. ),"Q3 (V2 P. 37 - 44): As shown in the figure, in triangle ABC, AB = AC, PG = CQ, BQ = CR. If ∠A = 56°, find the angle of ∠RPQ","Q4 (V2 P. 42 - 49): As shown in the figure, point E lies on line segment BC, and the two triangles ABC and BDE are bothequilateral triangles. If ∠AEB = 95°, find the angle of ∠BCD.",Q5 (V2 P. 84 - 5): List the sides of ∆DEF in order from shortest to longest.,Q6 (V2 P. 85 - 8): List the angles of ∆PQR in order from smallest to largest.,Q7 (V2 P. 84 - 6): List the sides of ∆RST in order from shortest to longest. ,Q8 (V2 P. 85 - 9a): List the angles of the given triangle from smallest to largest. ,"Q9 (3-2 Basic 一、 5): △ABC 中,AB = AC =25 公分,BC =48 公分,則△ABC 的面積為多少平方公分?","Q10 (3-2 Adv. 一、 8): 如圖,△ABC 中, AE = AD ,∠ACE=∠ABD。則△ABD 與△ACE 是根據什麼全等性質?"
